simulation name,commodities shocked,Commodity Description,variable,variable property,variable description,value
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"pm(""Gas"":""USA"")",Percent Change,No Variable Description Available,-76.854965
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"pm(""Gas"":""USA"")",PreLevel,No Variable Description Available,1.0000000
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"pm(""Gas"":""USA"")",PostLevel,No Variable Description Available,0.23145035
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"pm(""Gas"":""USA"")",Absolute Change,No Variable Description Available,-0.76854968
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"aoall(""Gas"":""USA"")",Percent Change,No Variable Description Available,262.17886
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qo(""Gas"":""USA"")",Percent Change,No Variable Description Available,1604.0013
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qo(""Gas"":""USA"")",PreLevel,No Variable Description Available,95722.961
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qo(""Gas"":""USA"")",PostLevel,No Variable Description Available,1631120.5
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qo(""Gas"":""USA"")",Absolute Change,No Variable Description Available,1535397.5
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qxw(""Gas"":""USA"")",Percent Change,No Variable Description Available,22347.451
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qxw(""Gas"":""USA"")",PreLevel,No Variable Description Available,6380.5854
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qxw(""Gas"":""USA"")",PostLevel,No Variable Description Available,1432278.8
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qxw(""Gas"":""USA"")",Absolute Change,No Variable Description Available,1425898.1
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qiw(""Gas"":""USA"")",Percent Change,No Variable Description Available,-99.766235
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"pm(""Oil"":""USA"")",Percent Change,No Variable Description Available,-23.286201
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"pm(""Oil"":""USA"")",PreLevel,No Variable Description Available,1.0000000
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"pm(""Oil"":""USA"")",PostLevel,No Variable Description Available,0.76713800
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"pm(""Oil"":""USA"")",Absolute Change,No Variable Description Available,-0.23286200
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"aoall(""Oil"":""USA"")",Percent Change,No Variable Description Available,0.0000000
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qo(""Oil"":""USA"")",Percent Change,No Variable Description Available,-26.087025
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qo(""Oil"":""USA"")",PreLevel,No Variable Description Available,222488.91
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qo(""Oil"":""USA"")",PostLevel,No Variable Description Available,164448.17
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qo(""Oil"":""USA"")",Absolute Change,No Variable Description Available,-58040.734
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qxw(""Oil"":""USA"")",Percent Change,No Variable Description Available,-46.366817
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qxw(""Oil"":""USA"")",PreLevel,No Variable Description Available,669.97400
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qxw(""Oil"":""USA"")",PostLevel,No Variable Description Available,359.32837
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qxw(""Oil"":""USA"")",Absolute Change,No Variable Description Available,-310.64563
GTAP-E-Custom-G,GTAP-E-Custom-G,Unknown Sector,"qiw(""Oil"":""USA"")",Percent Change,No Variable Description Available,13.237827
